"row.id","col.id","PRIMARY_NAME_SF","LOCATION_ADDRESS_SF","CITY_NAME_SF","geometry.x","location_name_PFOA","location_PFOA","geometry.y"
"1",5,10,"EARECKSON AIR STATION USAF","SHEMYA ISLAND","ADAK",c(174.107672, 52.722466),"Earekson Air Station, Shemya Island, Aleutian Islands, Alaska","shemya island, aleutian islands, alaska",c(174.113615264899, 52.7139660495138)
"2593",5277,295,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"2594",5277,298,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"Marathon Petroleum Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1510215, 42.2805269)
"2595",5277,301,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2596",5277,313,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"2597",5277,325,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2598",5277,333,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"2599",5277,336,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2600",5277,338,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2601",5277,351,"BUCHANAN STREET WAREHOUSE FIRE","6000 BUCHANAN STREET","DETROIT",c(-83.118235, 42.333725),"Z Technologies Corporation, Redford Township, Wayne County, Michigan","redford township, wayne county, michigan",c(-83.3030511, 42.3763488)
"2602",5278,223,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"2603",5278,224,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"A.G. Simpson, Sterling Heights, Macomb County, Michigan","sterling heights, macomb county, michigan",c(-83.0399975, 42.5426982)
"2604",5278,229,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2605",5278,232,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"2606",5278,236,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Beacon Park Finishing, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9600695, 42.5143165)
"2607",5278,242,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Chor Industries, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.101294, 42.5393092)
"2608",5278,249,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Color Coat Plating Company, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.1099807, 42.5124897)
"2609",5278,250,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Controlled Power Company, Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1268677, 42.5531332)
"2610",5278,251,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"2611",5278,253,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Depor Industries (Troy), Troy, Oakland County, Michigan","troy, oakland county, michigan",c(-83.1627226, 42.5525354)
"2612",5278,254,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"2613",5278,255,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Detroit Diesel Corporation, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2650822, 42.3766661)
"2614",5278,256,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"2615",5278,258,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"2616",5278,259,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"2617",5278,261,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"2618",5278,264,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"EnviroSolids, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1575972, 42.3352713)
"2619",5278,265,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"2620",5278,269,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Ford Motor Company - Dearborn Truck Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1578918, 42.3123133)
"2621",5278,270,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Ford Motor Company - New Model Program Development Center, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1578918, 42.3123133)
"2622",5278,277,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"2623",5278,280,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza), Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.108452, 42.30019)
"2624",5278,283,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"2625",5278,285,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"International Hardcoat, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2450805, 42.3786752)
"2626",5278,295,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"2627",5278,301,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2628",5278,313,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"2629",5278,325,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2630",5278,333,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"2631",5278,336,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2632",5278,338,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2633",5278,349,"CAN FLOW INTERNATIONAL INCORPORATION","615 EAST GREENDALE","DETROIT",c(-83.0974, 42.42702),"Wolverine Plating Corporation, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9545247, 42.5110761)
"2634",5279,223,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"2635",5279,229,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2636",5279,232,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"2637",5279,251,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"2638",5279,254,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"2639",5279,256,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"2640",5279,258,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"2641",5279,259,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"2642",5279,261,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"2643",5279,264,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"EnviroSolids, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1575972, 42.3352713)
"2644",5279,265,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"2645",5279,268,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Ford Motor Company - Allen Park Clay Mine Landfill, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1986297, 42.2862107)
"2646",5279,269,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Ford Motor Company - Dearborn Truck Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1578918, 42.3123133)
"2647",5279,270,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Ford Motor Company - New Model Program Development Center, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1578918, 42.3123133)
"2648",5279,277,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"2649",5279,280,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza), Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.108452, 42.30019)
"2650",5279,283,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"2651",5279,285,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"International Hardcoat, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2450805, 42.3786752)
"2652",5279,295,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"2653",5279,298,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Marathon Petroleum Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1510215, 42.2805269)
"2654",5279,301,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2655",5279,313,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"2656",5279,325,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2657",5279,333,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"2658",5279,336,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2659",5279,338,"CARTER COLOR COAT, INC.","6051 HASTINGS STREET","DETROIT",c(-83.06058, 42.36913),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2660",5280,229,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2661",5280,232,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"2662",5280,251,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"2663",5280,254,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"2664",5280,255,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Detroit Diesel Corporation, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2650822, 42.3766661)
"2665",5280,256,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"2666",5280,258,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"2667",5280,259,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"2668",5280,261,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"2669",5280,264,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"EnviroSolids, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1575972, 42.3352713)
"2670",5280,265,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"2671",5280,268,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Ford Motor Company - Allen Park Clay Mine Landfill, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1986297, 42.2862107)
"2672",5280,269,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Ford Motor Company - Dearborn Truck Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1578918, 42.3123133)
"2673",5280,270,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Ford Motor Company - New Model Program Development Center, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1578918, 42.3123133)
"2674",5280,277,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"2675",5280,280,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza), Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.108452, 42.30019)
"2676",5280,283,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Henry Ford Hospital, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0628493, 42.373759)
"2677",5280,285,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"International Hardcoat, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.2450805, 42.3786752)
"2678",5280,295,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"MacDermid Inc., Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1192114, 42.4567198)
"2679",5280,298,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Marathon Petroleum Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1510215, 42.2805269)
"2680",5280,301,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"MDOT - Parcel 5348, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1026163, 42.3054622)
"2681",5280,313,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Plating Specialties, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.0877652, 42.4766468)
"2682",5280,325,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Rogue Manufacturing Complex, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1621423, 42.3145529)
"2683",5280,333,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"SprayTek, Ferndale, Oakland County, Michigan","ferndale, oakland county, michigan",c(-83.1275381, 42.4670894)
"2684",5280,336,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"US Ecology Michigan, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0326177, 42.393179)
"2685",5280,338,"CARTER INDUSTRIALS, INC.","4690 HUMBOLDT AVENUE","DETROIT",c(-83.091669, 42.345281),"Usher Oil Company, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1494259, 42.3611131)
"2686",5281,223,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"A-W Custom Chrome, East Pointe, Macomb County, Michigan","east pointe, macomb county, michigan",c(-82.9383497, 42.4648541)
"2687",5281,229,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Aevitas Specialty Services Corp., Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-82.966376, 42.365333)
"2688",5281,232,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Arted Chrome Plating, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0697558, 42.36635)
"2689",5281,236,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Beacon Park Finishing, Roseville, Macomb County, Michigan","roseville, macomb county, michigan",c(-82.9600695, 42.5143165)
"2690",5281,249,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Color Coat Plating Company, Madison Heights, Oakland County, Michigan","madison heights, oakland county, michigan",c(-83.1099807, 42.5124897)
"2691",5281,251,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Dana Container Tank Cleaning Division, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.072382, 42.396032)
"2692",5281,254,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Detroit Chrome, Inc. dba DCI Aerotech, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.1461328, 42.3952497)
"2693",5281,256,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Detroit Metropolitan Wayne County Airport, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0774466, 42.3695832)
"2694",5281,258,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Disposal and Recycling Technologies, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.156106, 42.3947373)
"2695",5281,259,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Domestic Uniform Rental, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0865494, 42.3405137)
"2696",5281,261,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Dynamic Metal Finishing, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0016226, 42.3931488)
"2697",5281,264,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"EnviroSolids, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1575972, 42.3352713)
"2698",5281,265,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"EQ Detroit dba US Ecology, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0472131, 42.3663746)
"2699",5281,269,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Ford Motor Company - Dearborn Truck Plant, Dearborn, Wayne County, Michigan","dearborn, wayne county, michigan",c(-83.1578918, 42.3123133)
"2700",5281,270,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Ford Motor Company - New Model Program Development Center, Allen Park, Wayne County, Michigan","allen park, wayne county, michigan",c(-83.1578918, 42.3123133)
"2701",5281,277,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"G2O Energy, Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.0147366, 42.4007308)
"2702",5281,280,"CHEMCENTRAL FARR STREET PROPERTY","6468 FARR STREET","DETROIT",c(-83.03417, 42.38899),"Gordie Howe International Bridge U.S. Port of Entry (Customs Plaza), Detroit, Wayne County, Michigan","detroit, wayne county, michigan",c(-83.108452, 42.30019)
